id,n_in,mean_in,frac_neg_in,n_out,mean_out,frac_neg_out,spec_1,spec_2,spec_3,is_anomaly
15,13.0,1.5384615384615385,0.0,15.0,1.6,0.0,-0.0005216018624438777,0.0004270278809263496,0.00021704174904022873,0
41,95.0,1.6736842105263159,0.0,100.0,1.54,0.0,-0.0005445595596515483,0.0004468807353400261,0.00027203522973209224,0
54,7.0,2.142857142857143,0.0,7.0,2.2857142857142856,0.0,-0.0005268288889918363,0.00047418991557369593,0.00010923454749353348,0
57,80.0,2.375,0.0375,59.0,2.1186440677966103,0.05084745762711865,-0.0005290979781280294,0.00043538461500242906,0.00028397265938334985,0
72,11.0,2.0,0.0,11.0,1.8181818181818181,0.0,-0.0004976774631019145,0.000472455080798824,0.0002450543516807911,0
88,6.0,2.6666666666666665,0.0,7.0,4.857142857142857,0.0,-0.0005432481640629002,0.0004981463141800164,0.00022112134717839534,0
93,13.0,2.769230769230769,0.0,12.0,3.0,0.0,-0.0005428863198405322,0.0004573861779826964,0.0002691609013657243,0
113,36.0,1.75,0.0,42.0,2.2142857142857144,0.0,-0.0004288819172820064,0.0004660584360058922,0.0002664794120768336,0
148,5.0,1.2,0.0,5.0,1.2,0.0,-0.0005940533898029311,0.0005809724904672907,0.0003207435295271126,0
186,12.0,1.25,0.0,11.0,1.2727272727272727,0.0,-0.0004597341192171469,0.0003529699072511882,0.00011362588339225508,0
206,15.0,1.2,0.06666666666666667,15.0,1.2666666666666666,0.0,-0.0005105186777037603,0.0005010101930213631,8.085575210786229e-05,0
221,8.0,1.5,0.0,8.0,1.5,0.0,-0.0005188205883213394,0.00048467018625393505,0.00022142320529388253,0
228,13.0,1.6153846153846154,0.0,14.0,1.4285714285714286,0.0,-0.00046648404287169515,0.0004949192069534931,0.0001728192181463864,0
238,6.0,1.1666666666666667,0.0,8.0,-0.125,0.125,-0.00043519104722044893,0.00046219828460062636,0.00027962733788010704,0
